100,49,0.0,0.01,0.0,0.00333333333333
200,104,0.0,0.0,0.0,0.0
300,158,0.0,0.0,0.01,0.00333333333333
400,202,0.0,0.0,0.01,0.00333333333333
500,258,0.0,0.01,0.0,0.00333333333333
600,317,0.01,0.01,0.01,0.01
700,364,0.01,0.01,0.01,0.01
800,422,0.02,0.01,0.02,0.0166666666667
900,501,0.02,0.02,0.02,0.02
1000,544,0.02,0.02,0.03,0.0233333333333
1100,589,0.03,0.02,0.03,0.0266666666667
1200,619,0.03,0.04,0.03,0.0333333333333
1300,664,0.04,0.04,0.03,0.0366666666667
1400,748,0.05,0.05,0.04,0.0466666666667
1500,768,0.05,0.05,0.05,0.05
1600,850,0.06,0.06,0.06,0.06
1700,890,0.07,0.07,0.06,0.0666666666667
1800,934,0.07,0.07,0.07,0.07
1900,1012,0.09,0.08,0.09,0.0866666666667
2000,1016,0.09,0.09,0.08,0.0866666666667
