100,49,0.0,0.0,0.0,0.0
200,106,0.0,0.01,0.0,0.00333333333333
300,160,0.0,0.0,0.0,0.0
400,205,0.01,0.0,0.01,0.00666666666667
500,261,0.0,0.01,0.0,0.00333333333333
600,321,0.01,0.01,0.01,0.01
700,367,0.01,0.02,0.01,0.0133333333333
800,428,0.02,0.01,0.02,0.0166666666667
900,506,0.02,0.02,0.02,0.02
1000,550,0.03,0.03,0.02,0.0266666666667
1100,600,0.04,0.03,0.03,0.0333333333333
1200,629,0.04,0.04,0.03,0.0366666666667
1300,676,0.05,0.04,0.05,0.0466666666667
1400,757,0.05,0.06,0.05,0.0533333333333
1500,777,0.06,0.06,0.06,0.06
1600,860,0.07,0.07,0.07,0.07
1700,903,0.08,0.08,0.08,0.08
1800,942,0.09,0.09,0.09,0.09
1900,1024,0.1,0.1,0.1,0.1
2000,1029,0.11,0.13,0.14,0.126666666667
