100,48,0.0,0.0,0.0,0.0
200,101,0.0,0.0,0.0,0.0
300,153,0.01,0.0,0.0,0.00333333333333
400,199,0.01,0.0,0.01,0.00666666666667
500,250,0.0,0.01,0.01,0.00666666666667
600,307,0.01,0.01,0.01,0.01
700,351,0.01,0.02,0.01,0.0133333333333
800,412,0.02,0.02,0.01,0.0166666666667
900,486,0.03,0.02,0.03,0.0266666666667
1000,529,0.03,0.03,0.03,0.03
1100,578,0.03,0.04,0.04,0.0366666666667
1200,598,0.04,0.04,0.04,0.04
1300,655,0.05,0.05,0.05,0.05
1400,738,0.06,0.06,0.06,0.06
1500,746,0.07,0.07,0.06,0.0666666666667
1600,828,0.08,0.08,0.07,0.0766666666667
1700,873,0.09,0.09,0.08,0.0866666666667
1800,900,0.1,0.09,0.1,0.0966666666667
1900,997,0.11,0.11,0.11,0.11
2000,993,0.11,0.12,0.11,0.113333333333
