0 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
100 , 0.000000 , 0.010000 , 0.000000 , 0.003333 
200 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
300 , 0.010000 , 0.000000 , 0.000000 , 0.003333 
400 , 0.000000 , 0.010000 , 0.010000 , 0.006667 
500 , 0.010000 , 0.010000 , 0.010000 , 0.010000 
600 , 0.020000 , 0.010000 , 0.010000 , 0.013333 
700 , 0.020000 , 0.020000 , 0.020000 , 0.020000 
800 , 0.030000 , 0.030000 , 0.030000 , 0.030000 
900 , 0.030000 , 0.040000 , 0.040000 , 0.036667 
1000 , 0.040000 , 0.040000 , 0.040000 , 0.040000 
