0 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
100 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
200 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
300 , 0.010000 , 0.000000 , 0.000000 , 0.003333 
400 , 0.000000 , 0.000000 , 0.010000 , 0.003333 
500 , 0.000000 , 0.000000 , 0.010000 , 0.003333 
600 , 0.000000 , 0.000000 , 0.010000 , 0.003333 
700 , 0.000000 , 0.010000 , 0.000000 , 0.003333 
800 , 0.000000 , 0.000000 , 0.010000 , 0.003333 
900 , 0.000000 , 0.010000 , 0.000000 , 0.003333 
1000 , 0.010000 , 0.010000 , 0.010000 , 0.010000 
