0 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
100 , 0.120000 , 0.110000 , 0.120000 , 0.116667 
200 , 0.350000 , 0.360000 , 0.350000 , 0.353333 
300 , 1.060000 , 1.050000 , 1.060000 , 1.056667 
400 , 3.150000 , 3.140000 , 3.150000 , 3.146667 
500 , 9.420000 , 9.420000 , 9.480000 , 9.440000 
600 , 9.400000 , 9.490000 , 9.700000 , 9.530000 
700 , 9.400000 , 9.360000 , 9.380000 , 9.380000 
800 , 28.440000 , 28.410000 , 27.920000 , 28.256667 
900 , 28.880000 , 28.700000 , 28.170000 , 28.583333 
1000 , 28.000000 , 28.050000 , 28.010000 , 28.020000 
